Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
AMZN,2025-01-15 00:00:00-05:00,0.0,0.4395041,0.4395041,True,1,0.2160822004079818,Next-Day-High-To-Next-Day-Open-Ratio,0.0188753872101057,224.4199981689453,228.65601253207538
Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
BABA,2025-01-02 00:00:00-05:00,0.0,0.52793235,0.52793235,True,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,85.0999984741211,86.26962661898038
BABA,2025-01-03 00:00:00-05:00,0.0,0.5250092,0.5250092,False,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,86.55000305175781,87.73956029408582
BABA,2025-01-06 00:00:00-05:00,0.0,0.5278353,0.5278353,True,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,84.30500030517578,85.46370186660167
BABA,2025-01-07 00:00:00-05:00,0.0,0.5262518,0.5262518,False,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,83.08999633789062,84.23199868825031
BABA,2025-01-08 00:00:00-05:00,0.0,0.52550924,0.52550924,False,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,82.25,83.38045730481336
BABA,2025-01-10 00:00:00-05:00,0.0,0.5272615,0.5272615,False,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,80.1500015258789,81.25159611196683
BABA,2025-01-13 00:00:00-05:00,0.0,0.5263077,0.5263077,False,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,82.38999938964844,83.52238086871952
BABA,2025-01-14 00:00:00-05:00,0.0,0.5288852,0.5288852,True,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,82.62999725341797,83.76567730195092
BABA,2025-01-15 00:00:00-05:00,0.0,0.5276975,0.5276975,False,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,82.0199966430664,83.14729274453659
Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
CRM,2025-01-02 00:00:00-05:00,0.0,0.5325588,0.5325588,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,332.1000061035156,337.3193454354406
CRM,2025-01-03 00:00:00-05:00,0.0,0.53309387,0.53309387,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,334.0199890136719,339.26950311866347
CRM,2025-01-06 00:00:00-05:00,0.0,0.5325962,0.5325962,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,330.5,335.69419336795653
CRM,2025-01-07 00:00:00-05:00,0.0,0.5317163,0.5317163,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,327.739990234375,332.8908068264764
CRM,2025-01-08 00:00:00-05:00,0.0,0.53231907,0.53231907,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,322.7699890136719,327.84269623397506
CRM,2025-01-10 00:00:00-05:00,0.0,0.53311473,0.53311473,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,314.6000061035156,319.5443125037031
CRM,2025-01-13 00:00:00-05:00,0.0,0.5336273,0.5336273,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,325.0,330.1077544465533
CRM,2025-01-14 00:00:00-05:00,0.0,0.5334716,0.5334716,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,329.8800048828125,335.06445430364084
CRM,2025-01-15 00:00:00-05:00,0.0,0.53262526,0.53262526,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,322.94000244140625,328.0153816212217
Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
CRM,2025-01-02 00:00:00-05:00,0.0,0.54162395,0.54162395,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,332.1000061035156,339.6253836973395
CRM,2025-01-03 00:00:00-05:00,0.0,0.54388225,0.54388225,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,334.0199890136719,341.5888733708413
CRM,2025-01-06 00:00:00-05:00,0.0,0.5438864,0.5438864,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,330.5,337.9891214966842
CRM,2025-01-07 00:00:00-05:00,0.0,0.5411352,0.5411352,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,327.739990234375,335.16656998078145
CRM,2025-01-08 00:00:00-05:00,0.0,0.5424528,0.5424528,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,322.7699890136719,330.08394866028857
CRM,2025-01-10 00:00:00-05:00,0.0,0.54257995,0.54257995,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,314.6000061035156,321.7288341475907
CRM,2025-01-13 00:00:00-05:00,0.0,0.54606414,0.54606414,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,325.0,332.36449163819174
CRM,2025-01-14 00:00:00-05:00,0.0,0.54577416,0.54577416,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,329.8800048828125,337.3550773060929
CRM,2025-01-15 00:00:00-05:00,0.0,0.5469455,0.5469455,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,322.94000244140625,330.2578145879212
Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
CSCO,2025-01-02 00:00:00-05:00,0.0,0.56127113,0.56127113,True,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.84000015258789,59.449133307990344
CSCO,2025-01-03 00:00:00-05:00,0.0,0.5731148,0.5731148,True,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.90999984741211,59.51985766520197
CSCO,2025-01-06 00:00:00-05:00,0.0,0.5700408,0.5700408,True,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.970001220703125,59.58048019460696
CSCO,2025-01-07 00:00:00-05:00,0.0,0.56026417,0.56026417,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.88999938964844,59.4996501554003
CSCO,2025-01-08 00:00:00-05:00,0.0,0.5480393,0.5480393,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.790000915527344,59.398616460580385
CSCO,2025-01-10 00:00:00-05:00,0.0,0.55784005,0.55784005,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.91999816894531,59.529959493008604
CSCO,2025-01-13 00:00:00-05:00,0.0,0.55546993,0.55546993,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,58.970001220703125,59.58048019460696
CSCO,2025-01-14 00:00:00-05:00,0.0,0.54640424,0.54640424,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,59.86000061035156,60.47969318274481
CSCO,2025-01-15 00:00:00-05:00,0.0,0.5337027,0.5337027,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,60.18000030517578,60.80300563119464
Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
CSCO,2025-01-02 00:00:00-05:00,0.0,0.5564596,0.5564596,False,3,0.5744773745536804,Next-Day-High-To-Next-Day-Open-Ratio,0.0144149051110295,58.84000015258789,59.68817317152041
CSCO,2025-01-03 00:00:00-05:00,0.0,0.56485325,0.56485325,False,3,0.5744773745536804,Next-Day-High-To-Next-Day-Open-Ratio,0.0144149051110295,58.90999984741211,59.75918190530332
CSCO,2025-01-06 00:00:00-05:00,0.0,0.5724438,0.5724438,False,3,0.5744773745536804,Next-Day-High-To-Next-Day-Open-Ratio,0.0144149051110295,58.970001220703125,59.82004819269686
CSCO,2025-01-07 00:00:00-05:00,0.0,0.5718376,0.5718376,False,3,0.5744773745536804,Next-Day-High-To-Next-Day-Open-Ratio,0.0144149051110295,58.88999938964844,59.73889314283881
