2025-01-09 22:19:19,340 - Epoch 1: {'AUC': 0.41008448600769043, 'Precision': 0.967391312122345, 'Recall': 0.10125143080949783, 'all_positives': 10.082550048828125, 'f1_score_metric': 2.525344133377075, 'loss': 0.11715909838676453, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 62.94831466674805, 'recall_with_threshold_fixed': 0.0, 'true_positives': 62.94831085205078, 'val_AUC': 0.6666666865348816, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.10095152258872986, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:20,565 - Epoch 2: {'AUC': 0.5654152631759644, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082551956176758, 'f1_score_metric': 0.0, 'loss': 0.05529899150133133, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.4841270446777344, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.020766213536262512, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:21,647 - Epoch 3: {'AUC': 0.4888266324996948, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082550048828125, 'f1_score_metric': 0.0, 'loss': 0.017040029168128967, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.3968254327774048, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.020182348787784576, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:22,724 - Epoch 4: {'AUC': 0.32516658306121826, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082551956176758, 'f1_score_metric': 0.0, 'loss': 0.01692076027393341, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5952381491661072, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.017160402610898018, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:23,719 - Epoch 5: {'AUC': 0.49845606088638306, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082551956176758, 'f1_score_metric': 0.0, 'loss': 0.015182488597929478, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.4523809850215912, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.017533671110868454, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:24,749 - Epoch 6: {'AUC': 0.5815862417221069, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082552909851074, 'f1_score_metric': 0.0, 'loss': 0.015422155149281025, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.3809524178504944, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.0171206071972847, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:25,734 - Epoch 7: {'AUC': 0.5310011506080627, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082552909851074, 'f1_score_metric': 0.0, 'loss': 0.0151912160217762, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6111111640930176, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.017145130783319473, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:26,682 - Epoch 8: {'AUC': 0.36961644887924194, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082552909851074, 'f1_score_metric': 0.0, 'loss': 0.01545653399080038, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5317460894584656, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.017214450985193253, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:27,728 - Epoch 9: {'AUC': 0.4347473084926605, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082551956176758, 'f1_score_metric': 0.0, 'loss': 0.01522462721914053, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5873016119003296, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.01708032935857773, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:28,711 - Epoch 10: {'AUC': 0.5468471050262451, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082551956176758, 'f1_score_metric': 0.0, 'loss': 0.015165290795266628, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6111111640930176, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.017213474959135056, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 22:19:29,679 - Epoch 11: {'AUC': 0.5518853068351746, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 10.082550048828125, 'f1_score_metric': 0.0, 'loss': 0.014951459132134914, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6904761791229248, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 9.417349815368652, 'val_f1_score_metric': 0.0, 'val_loss': 0.017127102240920067, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
