2025-01-15 16:21:02,237 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.996313214302063, 'all_positives': 72.06039428710938, 'f1_score_metric': 92.08126068115234, 'loss': 0.5936199426651001, 'precision_with_threshold_fixed': 13.721415519714355, 'recall_mul_prediction': 9189.5595703125, 'recall_with_threshold_fixed': 0.30337080359458923, 'true_positives': 9189.5595703125, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.25213563442230225, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:21:12,634 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.0604019165039, 'f1_score_metric': 92.20782470703125, 'loss': 0.1510995477437973, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.7314453125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.7314453125, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.08621478825807571, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:21:22,642 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.06041717529297, 'f1_score_metric': 92.20809936523438, 'loss': 0.06895453482866287, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.732421875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.732421875, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.054816585034132004, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:21:32,538 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.06038665771484, 'f1_score_metric': 92.2073974609375, 'loss': 0.05000018700957298, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.7294921875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.7294921875, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.04179425537586212, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:21:42,609 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.0604248046875, 'f1_score_metric': 92.20768737792969, 'loss': 0.043758392333984375, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.734375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.734375, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.03857344388961792, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:21:52,774 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.06039428710938, 'f1_score_metric': 92.20738220214844, 'loss': 0.04116302728652954, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.7314453125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.73046875, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.036615174263715744, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:22:02,806 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.0604019165039, 'f1_score_metric': 92.20797729492188, 'loss': 0.04003650322556496, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.7314453125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.7314453125, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.036298010498285294, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:22:12,887 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.06041717529297, 'f1_score_metric': 92.20764923095703, 'loss': 0.039399854838848114, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.732421875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.7333984375, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.03515426814556122, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:22:22,631 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.0604019165039, 'f1_score_metric': 92.2078628540039, 'loss': 0.03912733495235443, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.7314453125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.7314453125, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.03602445498108864, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:22:32,647 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 72.06041717529297, 'f1_score_metric': 92.20732116699219, 'loss': 0.03897637873888016, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 9223.7333984375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 9223.7333984375, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 1.0000001192092896, 'val_all_positives': 70.28350830078125, 'val_f1_score_metric': 90.43243408203125, 'val_loss': 0.035152092576026917, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 8920.890625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 8920.8896484375, 'learning_rate': 0.0003000000142492354}
2025-01-15 16:24:48,852 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.6968538165092468, 'all_positives': 63.9703369140625, 'f1_score_metric': 66.99256134033203, 'loss': 0.6009668111801147, 'precision_with_threshold_fixed': 5.698775291442871, 'recall_mul_prediction': 5699.16259765625, 'recall_with_threshold_fixed': 0.15555556118488312, 'true_positives': 5699.162109375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.38562092185020447, 'val_all_positives': 63.14952850341797, 'val_f1_score_metric': 46.181026458740234, 'val_loss': 0.24293814599514008, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 3121.20947265625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 3121.208984375, 'learning_rate': 0.0003000000142492354}
