2025-01-14 14:28:35,839 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3751705288887024, 'all_positives': 60.540367126464844, 'f1_score_metric': 35.12821960449219, 'loss': 0.5776400566101074, 'precision_with_threshold_fixed': 32.68917465209961, 'recall_mul_prediction': 2969.147216796875, 'recall_with_threshold_fixed': 4.166667461395264, 'true_positives': 2969.146484375, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.5235016345977783, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:37,172 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.18008185923099518, 'all_positives': 60.540367126464844, 'f1_score_metric': 30.309240341186523, 'loss': 0.5323970317840576, 'precision_with_threshold_fixed': 60.54035949707031, 'recall_mul_prediction': 1357.538818359375, 'recall_with_threshold_fixed': 1.8333333730697632, 'true_positives': 1357.5386962890625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.01587301678955555, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 1.940087914466858, 'val_loss': 0.47970062494277954, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 32.38229751586914, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 32.382301330566406, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:38,396 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.14870396256446838, 'all_positives': 60.54037094116211, 'f1_score_metric': 23.54620361328125, 'loss': 0.48899877071380615, 'precision_with_threshold_fixed': 29.158926010131836, 'recall_mul_prediction': 1003.0202026367188, 'recall_with_threshold_fixed': 0.5, 'true_positives': 1003.0202026367188, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9206349849700928, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 41.560646057128906, 'val_loss': 0.44162023067474365, 'val_precision_with_threshold_fixed': 32.38229751586914, 'val_recall_mul_prediction': 1878.173583984375, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 1878.173583984375, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:39,517 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.425648033618927, 'all_positives': 60.540367126464844, 'f1_score_metric': 53.13835144042969, 'loss': 0.4494999945163727, 'precision_with_threshold_fixed': 28.28175163269043, 'recall_mul_prediction': 3133.5048828125, 'recall_with_threshold_fixed': 0.6666666865348816, 'true_positives': 3133.5048828125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.7460317611694336, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 38.34528350830078, 'val_loss': 0.4045611619949341, 'val_precision_with_threshold_fixed': 32.38229751586914, 'val_recall_mul_prediction': 1521.968505859375, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 1521.96826171875, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:40,611 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.19099590182304382, 'all_positives': 60.54037094116211, 'f1_score_metric': 30.769306182861328, 'loss': 0.4112417995929718, 'precision_with_threshold_fixed': 27.64957046508789, 'recall_mul_prediction': 1410.3201904296875, 'recall_with_threshold_fixed': 0.5, 'true_positives': 1410.3201904296875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.3809524178504944, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 27.56805992126465, 'val_loss': 0.36501678824424744, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 777.1754150390625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 777.17529296875, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:41,741 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.5211459994316101, 'all_positives': 60.540367126464844, 'f1_score_metric': 58.496681213378906, 'loss': 0.3760559558868408, 'precision_with_threshold_fixed': 28.105300903320312, 'recall_mul_prediction': 3798.7470703125, 'recall_with_threshold_fixed': 0.6666666865348816, 'true_positives': 3798.7470703125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9841270446777344, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.54405212402344, 'val_loss': 0.3305857181549072, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2007.7025146484375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2007.70263671875, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:42,802 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.542974054813385, 'all_positives': 60.540367126464844, 'f1_score_metric': 62.35279083251953, 'loss': 0.3431021273136139, 'precision_with_threshold_fixed': 20.697017669677734, 'recall_mul_prediction': 4089.1025390625, 'recall_with_threshold_fixed': 0.8333333730697632, 'true_positives': 4089.102294921875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.2698412835597992, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 22.29540252685547, 'val_loss': 0.3020751476287842, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 550.4991455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 550.4991455078125, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:43,823 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3833560645580292, 'all_positives': 60.54037094116211, 'f1_score_metric': 51.45613098144531, 'loss': 0.31284111738204956, 'precision_with_threshold_fixed': 31.558563232421875, 'recall_mul_prediction': 2917.11865234375, 'recall_with_threshold_fixed': 0.833333432674408, 'true_positives': 2917.11865234375, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.2730133533477783, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:44,872 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.21418826282024384, 'all_positives': 60.540367126464844, 'f1_score_metric': 32.445430755615234, 'loss': 0.2853664755821228, 'precision_with_threshold_fixed': 10.462668418884277, 'recall_mul_prediction': 1544.72119140625, 'recall_with_threshold_fixed': 0.1666666567325592, 'true_positives': 1544.72119140625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9365079998970032, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 41.8145751953125, 'val_loss': 0.24698881804943085, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1910.55615234375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1910.555908203125, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:46,092 - Epoch 10: {'AUC': 0.0, 'Precision': 0.9999999403953552, 'Recall': 0.3997271656990051, 'all_positives': 60.540367126464844, 'f1_score_metric': 48.19269561767578, 'loss': 0.2602378726005554, 'precision_with_threshold_fixed': 21.39430809020996, 'recall_mul_prediction': 3026.27490234375, 'recall_with_threshold_fixed': 0.6666666865348816, 'true_positives': 3026.27490234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.0952381044626236, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 10.124136924743652, 'val_loss': 0.22098684310913086, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 194.29385375976562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 194.2938232421875, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:28:47,115 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.6111869215965271, 'all_positives': 60.54035949707031, 'f1_score_metric': 64.1744384765625, 'loss': 0.23721931874752045, 'precision_with_threshold_fixed': 11.129134178161621, 'recall_mul_prediction': 4514.3515625, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 4514.3515625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.888888955116272, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 41.03556823730469, 'val_loss': 0.19927509129047394, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1813.4090576171875, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1813.408935546875, 'learning_rate': 0.0003000000142492354}
