2025-01-15 15:34:23,817 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9090908765792847, 'all_positives': 67.77975463867188, 'f1_score_metric': 81.24103546142578, 'loss': 1.009773850440979, 'precision_with_threshold_fixed': 49.54523468017578, 'recall_mul_prediction': 7614.01171875, 'recall_with_threshold_fixed': 1.4999998807907104, 'true_positives': 7614.01220703125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.9131740927696228, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:25,898 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9862579107284546, 'all_positives': 67.77975463867188, 'f1_score_metric': 85.73004150390625, 'loss': 0.8544017672538757, 'precision_with_threshold_fixed': 9.11093807220459, 'recall_mul_prediction': 8276.4912109375, 'recall_with_threshold_fixed': 0.1250000149011612, 'true_positives': 8276.4912109375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.7673304080963135, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:28,079 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 67.7797622680664, 'f1_score_metric': 86.16683197021484, 'loss': 0.7157183885574341, 'precision_with_threshold_fixed': 55.17264175415039, 'recall_mul_prediction': 8398.9189453125, 'recall_with_threshold_fixed': 1.25, 'true_positives': 8398.919921875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.6395917534828186, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:29,816 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9904862642288208, 'all_positives': 67.7797622680664, 'f1_score_metric': 85.86312866210938, 'loss': 0.5949382185935974, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8319.15234375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8319.15234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.5298824310302734, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:31,795 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9968287348747253, 'all_positives': 67.7797622680664, 'f1_score_metric': 86.0643539428711, 'loss': 0.4922434985637665, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8364.6923828125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8364.6923828125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.43833449482917786, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:33,351 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 67.77975463867188, 'f1_score_metric': 86.16812133789062, 'loss': 0.4058377146720886, 'precision_with_threshold_fixed': 9.18908977508545, 'recall_mul_prediction': 8397.1416015625, 'recall_with_threshold_fixed': 0.125, 'true_positives': 8397.1416015625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.35953283309936523, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:35,503 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9989429116249084, 'all_positives': 67.77975463867188, 'f1_score_metric': 86.13329315185547, 'loss': 0.3336949050426483, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8396.0234375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8396.0234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.29552364349365234, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:37,140 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9968287348747253, 'all_positives': 67.77975463867188, 'f1_score_metric': 86.06847381591797, 'loss': 0.27397724986076355, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8366.3671875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8366.3662109375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.24248899519443512, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:38,930 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 67.77975463867188, 'f1_score_metric': 86.16753387451172, 'loss': 0.22468437254428864, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8394.0830078125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8394.0830078125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.19823352992534637, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:41,105 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 67.77975463867188, 'f1_score_metric': 86.16739654541016, 'loss': 0.18411441147327423, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8393.3623046875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8393.3623046875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.16292324662208557, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
2025-01-15 15:34:43,097 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 67.77974700927734, 'f1_score_metric': 86.16828155517578, 'loss': 0.1508808434009552, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 8393.2529296875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 8393.2529296875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 35.30012512207031, 'val_f1_score_metric': 45.502620697021484, 'val_loss': 0.13304615020751953, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2259.2080078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2259.2080078125, 'learning_rate': 0.0003000000142492354}
