prediction_index,threshold,TPs,FPs,FNs,Precision,Recall,Random-Guess
0,1.0,0,0,161,1.0,0.0,0.5348837209302325
0,0.7752161026000977,0,1,161,0.0,0.0,0.5348837209302325
0,0.7740508317947388,1,1,160,0.5,0.006211180124223602,0.5348837209302325
0,0.7739514708518982,2,1,159,0.6666666666666666,0.012422360248447204,0.5348837209302325
0,0.773041307926178,2,2,159,0.5,0.012422360248447204,0.5348837209302325
0,0.7702561020851135,3,2,158,0.6,0.018633540372670808,0.5348837209302325
0,0.767296314239502,4,2,157,0.6666666666666666,0.024844720496894408,0.5348837209302325
0,0.7654674649238586,4,3,157,0.5714285714285714,0.024844720496894408,0.5348837209302325
0,0.765397846698761,5,3,156,0.625,0.031055900621118012,0.5348837209302325
0,0.7591348886489868,6,3,155,0.6666666666666666,0.037267080745341616,0.5348837209302325
0,0.7579300999641418,7,3,154,0.7,0.043478260869565216,0.5348837209302325
0,0.7495890855789185,7,4,154,0.6363636363636364,0.043478260869565216,0.5348837209302325
0,0.7380216121673584,8,4,153,0.6666666666666666,0.049689440993788817,0.5348837209302325
0,0.7203713059425354,9,4,152,0.6923076923076923,0.055900621118012424,0.5348837209302325
0,0.7107548117637634,10,4,151,0.7142857142857143,0.062111801242236024,0.5348837209302325
0,0.7099580764770508,11,4,150,0.7333333333333333,0.06832298136645963,0.5348837209302325
0,0.7098159790039062,11,5,150,0.6875,0.06832298136645963,0.5348837209302325
0,0.7093802094459534,12,5,149,0.7058823529411765,0.07453416149068323,0.5348837209302325
0,0.7088842391967773,13,5,148,0.7222222222222222,0.08074534161490683,0.5348837209302325
0,0.7071936726570129,13,6,148,0.6842105263157895,0.08074534161490683,0.5348837209302325
0,0.706017017364502,14,6,147,0.7,0.08695652173913043,0.5348837209302325
0,0.7016162276268005,14,7,147,0.6666666666666666,0.08695652173913043,0.5348837209302325
0,0.7010062336921692,14,8,147,0.6363636363636364,0.08695652173913043,0.5348837209302325
0,0.6966983675956726,15,8,146,0.6521739130434783,0.09316770186335403,0.5348837209302325
0,0.694033145904541,16,8,145,0.6666666666666666,0.09937888198757763,0.5348837209302325
0,0.691651463508606,17,8,144,0.68,0.10559006211180125,0.5348837209302325
0,0.690795361995697,17,9,144,0.6538461538461539,0.10559006211180125,0.5348837209302325
0,0.6906285881996155,18,9,143,0.6666666666666666,0.11180124223602485,0.5348837209302325
0,0.688997745513916,19,9,142,0.6785714285714286,0.11801242236024845,0.5348837209302325
0,0.6886070370674133,19,10,142,0.6551724137931034,0.11801242236024845,0.5348837209302325
0,0.688288152217865,19,11,142,0.6333333333333333,0.11801242236024845,0.5348837209302325
0,0.6882359981536865,20,11,141,0.6451612903225806,0.12422360248447205,0.5348837209302325
0,0.6878951787948608,20,12,141,0.625,0.12422360248447205,0.5348837209302325
0,0.6865071654319763,21,12,140,0.6363636363636364,0.13043478260869565,0.5348837209302325
0,0.6860285997390747,21,13,140,0.6176470588235294,0.13043478260869565,0.5348837209302325
0,0.6839210987091064,21,14,140,0.6,0.13043478260869565,0.5348837209302325
0,0.68327796459198,22,14,139,0.6111111111111112,0.13664596273291926,0.5348837209302325
0,0.6812010407447815,22,15,139,0.5945945945945946,0.13664596273291926,0.5348837209302325
0,0.6810101270675659,22,16,139,0.5789473684210527,0.13664596273291926,0.5348837209302325
0,0.6808946132659912,22,17,139,0.5641025641025641,0.13664596273291926,0.5348837209302325
0,0.6796659827232361,23,17,138,0.575,0.14285714285714285,0.5348837209302325
0,0.6794617176055908,24,17,137,0.5853658536585366,0.14906832298136646,0.5348837209302325
0,0.6789266467094421,24,18,137,0.5714285714285714,0.14906832298136646,0.5348837209302325
0,0.6751407384872437,25,18,136,0.5813953488372093,0.15527950310559005,0.5348837209302325
0,0.6743839383125305,25,19,136,0.5681818181818182,0.15527950310559005,0.5348837209302325
0,0.6743592619895935,26,19,135,0.5777777777777777,0.16149068322981366,0.5348837209302325
0,0.6723282337188721,27,19,134,0.5869565217391305,0.16770186335403728,0.5348837209302325
0,0.6715731620788574,27,20,134,0.574468085106383,0.16770186335403728,0.5348837209302325
0,0.670040488243103,28,20,133,0.5833333333333334,0.17391304347826086,0.5348837209302325
0,0.6697187423706055,29,20,132,0.5918367346938775,0.18012422360248448,0.5348837209302325
0,0.6667145490646362,30,20,131,0.6,0.18633540372670807,0.5348837209302325
0,0.6664233207702637,31,20,130,0.6078431372549019,0.19254658385093168,0.5348837209302325
0,0.664470911026001,32,20,129,0.6153846153846154,0.19875776397515527,0.5348837209302325
0,0.6641900539398193,32,21,129,0.6037735849056604,0.19875776397515527,0.5348837209302325
0,0.6601951122283936,32,22,129,0.5925925925925926,0.19875776397515527,0.5348837209302325
0,0.659892737865448,32,23,129,0.5818181818181818,0.19875776397515527,0.5348837209302325
0,0.6584814786911011,32,24,129,0.5714285714285714,0.19875776397515527,0.5348837209302325
0,0.6573439240455627,32,25,129,0.5614035087719298,0.19875776397515527,0.5348837209302325
0,0.6571169495582581,33,25,128,0.5689655172413793,0.20496894409937888,0.5348837209302325
0,0.6568595767021179,33,26,128,0.559322033898305,0.20496894409937888,0.5348837209302325
0,0.656683087348938,34,26,127,0.5666666666666667,0.2111801242236025,0.5348837209302325
0,0.6559680700302124,35,26,126,0.5737704918032787,0.21739130434782608,0.5348837209302325
0,0.6529169678688049,36,26,125,0.5806451612903226,0.2236024844720497,0.5348837209302325
0,0.6518272161483765,37,26,124,0.5873015873015873,0.22981366459627328,0.5348837209302325
0,0.6513841152191162,37,27,124,0.578125,0.22981366459627328,0.5348837209302325
0,0.6513036489486694,38,27,123,0.5846153846153846,0.2360248447204969,0.5348837209302325
