2025-01-08 14:46:32,953 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3102264702320099, 'all_positives': 11.116349220275879, 'f1_score_metric': 9.209959983825684, 'loss': 1.117234468460083, 'precision_with_threshold_fixed': 9.677231788635254, 'recall_mul_prediction': 118.83541870117188, 'recall_with_threshold_fixed': 4.706521987915039, 'true_positives': 118.83541870117188, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.04724409431219101, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 0.837624192237854, 'val_loss': 0.5188413858413696, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 11.73587417602539, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 11.735873222351074, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:46:44,471 - Epoch 2: {'AUC': 0.0, 'Precision': 0.9999999403953552, 'Recall': 0.33356210589408875, 'all_positives': 11.116345405578613, 'f1_score_metric': 10.12229061126709, 'loss': 1.0778368711471558, 'precision_with_threshold_fixed': 11.11921501159668, 'recall_mul_prediction': 125.07950592041016, 'recall_with_threshold_fixed': 5.25, 'true_positives': 125.07950592041016, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.04986876621842384, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.818985939025879, 'val_loss': 0.49117714166641235, 'val_precision_with_threshold_fixed': 1.7384860515594482, 'val_recall_mul_prediction': 14.459745407104492, 'val_recall_with_threshold_fixed': 0.25, 'val_true_positives': 14.459745407104492, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:46:56,274 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3212079405784607, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.303462982177734, 'loss': 1.0653605461120605, 'precision_with_threshold_fixed': 10.901331901550293, 'recall_mul_prediction': 116.5919189453125, 'recall_with_threshold_fixed': 5.9782609939575195, 'true_positives': 116.5919189453125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.03937007859349251, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.6346625089645386, 'val_loss': 0.47938716411590576, 'val_precision_with_threshold_fixed': 0.6463773250579834, 'val_recall_mul_prediction': 10.623790740966797, 'val_recall_with_threshold_fixed': 0.1666666716337204, 'val_true_positives': 10.623790740966797, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:47:08,399 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3160603940486908, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.520394325256348, 'loss': 1.0614094734191895, 'precision_with_threshold_fixed': 11.110246658325195, 'recall_mul_prediction': 119.79781341552734, 'recall_with_threshold_fixed': 6.315217018127441, 'true_positives': 119.79781341552734, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.08923884481191635, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 2.5012283325195312, 'val_loss': 0.5071244835853577, 'val_precision_with_threshold_fixed': 1.7384860515594482, 'val_recall_mul_prediction': 25.004894256591797, 'val_recall_with_threshold_fixed': 0.4166666269302368, 'val_true_positives': 25.004894256591797, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:47:20,528 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3277282118797302, 'all_positives': 11.116351127624512, 'f1_score_metric': 9.763899803161621, 'loss': 1.047931432723999, 'precision_with_threshold_fixed': 11.129922866821289, 'recall_mul_prediction': 122.94161224365234, 'recall_with_threshold_fixed': 6.608695983886719, 'true_positives': 122.94161224365234, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.010498687624931335, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 0.5593836307525635, 'val_loss': 0.4709993600845337, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 3.0620944499969482, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 3.0620946884155273, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:47:32,736 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3054220974445343, 'all_positives': 11.116348266601562, 'f1_score_metric': 9.753106117248535, 'loss': 1.0434054136276245, 'precision_with_threshold_fixed': 11.116349220275879, 'recall_mul_prediction': 113.8681640625, 'recall_with_threshold_fixed': 6.108695983886719, 'true_positives': 113.8681640625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.04724409431219101, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.7444318532943726, 'val_loss': 0.4652484357357025, 'val_precision_with_threshold_fixed': 0.6463773250579834, 'val_recall_mul_prediction': 11.130511283874512, 'val_recall_with_threshold_fixed': 0.3333333432674408, 'val_true_positives': 11.130511283874512, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:47:44,747 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.29547014832496643, 'all_positives': 11.116345405578613, 'f1_score_metric': 9.563271522521973, 'loss': 1.0406972169876099, 'precision_with_threshold_fixed': 11.092888832092285, 'recall_mul_prediction': 110.71244812011719, 'recall_with_threshold_fixed': 6.09782600402832, 'true_positives': 110.71244812011719, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.06561680138111115, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 2.1650896072387695, 'val_loss': 0.4845394790172577, 'val_precision_with_threshold_fixed': 1.9699859619140625, 'val_recall_mul_prediction': 17.499786376953125, 'val_recall_with_threshold_fixed': 0.5833333134651184, 'val_true_positives': 17.499786376953125, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:47:57,242 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3112559914588928, 'all_positives': 11.116350173950195, 'f1_score_metric': 9.470499992370605, 'loss': 1.0376540422439575, 'precision_with_threshold_fixed': 11.116349220275879, 'recall_mul_prediction': 114.25702667236328, 'recall_with_threshold_fixed': 6.90217399597168, 'true_positives': 114.25701904296875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.028871390968561172, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.218096137046814, 'val_loss': 0.46189767122268677, 'val_precision_with_threshold_fixed': 0.6463772654533386, 'val_recall_mul_prediction': 6.443133354187012, 'val_recall_with_threshold_fixed': 0.0833333358168602, 'val_true_positives': 6.443133354187012, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:48:10,160 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.2896362245082855, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.209773063659668, 'loss': 1.031826376914978, 'precision_with_threshold_fixed': 11.050811767578125, 'recall_mul_prediction': 107.46283721923828, 'recall_with_threshold_fixed': 6.130434989929199, 'true_positives': 107.46283721923828, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.06561680138111115, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 2.105910301208496, 'val_loss': 0.4775293171405792, 'val_precision_with_threshold_fixed': 1.9699859619140625, 'val_recall_mul_prediction': 15.590792655944824, 'val_recall_with_threshold_fixed': 0.6666666269302368, 'val_true_positives': 15.590792655944824, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:48:22,474 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.29306793212890625, 'all_positives': 11.116345405578613, 'f1_score_metric': 9.24958610534668, 'loss': 1.017351746559143, 'precision_with_threshold_fixed': 11.119007110595703, 'recall_mul_prediction': 108.8294448852539, 'recall_with_threshold_fixed': 6.58695650100708, 'true_positives': 108.8294448852539, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.044619422405958176, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.579913854598999, 'val_loss': 0.48484674096107483, 'val_precision_with_threshold_fixed': 1.323608636856079, 'val_recall_mul_prediction': 11.462347030639648, 'val_recall_with_threshold_fixed': 0.3333333134651184, 'val_true_positives': 11.462347030639648, 'learning_rate': 9.999999747378752e-05}
2025-01-08 14:48:34,939 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.28826355934143066, 'all_positives': 11.116345405578613, 'f1_score_metric': 9.019268989562988, 'loss': 1.0163495540618896, 'precision_with_threshold_fixed': 11.00770092010498, 'recall_mul_prediction': 105.1277847290039, 'recall_with_threshold_fixed': 6.40217399597168, 'true_positives': 105.12776184082031, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.02624671906232834, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.0022780895233154, 'val_loss': 0.4698205888271332, 'val_precision_with_threshold_fixed': 0.23150013387203217, 'val_recall_mul_prediction': 5.695727348327637, 'val_recall_with_threshold_fixed': 0.0833333358168602, 'val_true_positives': 5.695727348327637, 'learning_rate': 9.999999747378752e-05}
