2025-01-14 21:48:19,690 - Epoch 1: {'AUC': 0.45938166975975037, 'Precision': 0.25, 'Recall': 0.6141732335090637, 'all_positives': 31.75, 'f1_score_metric': 44.57273483276367, 'loss': 1.2502325773239136, 'precision_with_threshold_fixed': 4.124999523162842, 'recall_mul_prediction': 2545.75, 'recall_with_threshold_fixed': 0.125, 'true_positives': 2545.75, 'val_AUC': 0.4857143461704254, 'val_Precision': 0.19354838132858276, 'val_Recall': 0.40000003576278687, 'val_all_positives': 15.0, 'val_f1_score_metric': 20.21739387512207, 'val_loss': 1.2487764358520508, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 465.0000305175781, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 465.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:21,463 - Epoch 2: {'AUC': 0.5120089650154114, 'Precision': 0.27027028799057007, 'Recall': 0.15748031437397003, 'all_positives': 31.75, 'f1_score_metric': 18.460222244262695, 'loss': 1.2449859380722046, 'precision_with_threshold_fixed': 5.875, 'recall_mul_prediction': 550.8750610351562, 'recall_with_threshold_fixed': 0.25, 'true_positives': 550.875, 'val_AUC': 0.504081666469574, 'val_Precision': 1.0, 'val_Recall': 0.06666667014360428, 'val_all_positives': 15.0, 'val_f1_score_metric': 1.875, 'val_loss': 1.2396742105484009, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 14.999998092651367, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 15.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:22,879 - Epoch 3: {'AUC': 0.5488303899765015, 'Precision': 0.30158731341362, 'Recall': 0.07480315119028091, 'all_positives': 31.75, 'f1_score_metric': 11.956588745117188, 'loss': 1.2405370473861694, 'precision_with_threshold_fixed': 8.25, 'recall_mul_prediction': 246.25, 'recall_with_threshold_fixed': 0.375, 'true_positives': 246.25, 'val_AUC': 0.548979640007019, 'val_Precision': 0.5, 'val_Recall': 0.06666667014360428, 'val_all_positives': 15.0, 'val_f1_score_metric': 3.529411792755127, 'val_loss': 1.2387526035308838, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 30.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 30.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:24,218 - Epoch 4: {'AUC': 0.5958050489425659, 'Precision': 0.4000000059604645, 'Recall': 0.11023622006177902, 'all_positives': 31.75, 'f1_score_metric': 13.53497314453125, 'loss': 1.236725091934204, 'precision_with_threshold_fixed': 10.5, 'recall_mul_prediction': 280.0, 'recall_with_threshold_fixed': 0.5, 'true_positives': 280.0, 'val_AUC': 0.5979592800140381, 'val_Precision': 0.5, 'val_Recall': 0.06666667014360428, 'val_all_positives': 15.0, 'val_f1_score_metric': 3.529411792755127, 'val_loss': 1.2380328178405762, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 30.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 30.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:25,342 - Epoch 5: {'AUC': 0.6117400527000427, 'Precision': 0.4117647111415863, 'Recall': 0.16535432636737823, 'all_positives': 31.75, 'f1_score_metric': 17.736572265625, 'loss': 1.2334110736846924, 'precision_with_threshold_fixed': 11.25, 'recall_mul_prediction': 400.25, 'recall_with_threshold_fixed': 0.5, 'true_positives': 400.25, 'val_AUC': 0.5605442523956299, 'val_Precision': 0.6000000238418579, 'val_Recall': 0.20000001788139343, 'val_all_positives': 15.0, 'val_f1_score_metric': 7.500000953674316, 'val_loss': 1.2371259927749634, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 75.00000762939453, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 75.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:26,429 - Epoch 6: {'AUC': 0.628983736038208, 'Precision': 0.42446044087409973, 'Recall': 0.23228345811367035, 'all_positives': 31.75, 'f1_score_metric': 21.50751495361328, 'loss': 1.2304872274398804, 'precision_with_threshold_fixed': 11.125, 'recall_mul_prediction': 542.25, 'recall_with_threshold_fixed': 0.5, 'true_positives': 542.25, 'val_AUC': 0.5564626455307007, 'val_Precision': 0.6000000238418579, 'val_Recall': 0.20000001788139343, 'val_all_positives': 15.0, 'val_f1_score_metric': 7.500000953674316, 'val_loss': 1.2346621751785278, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 75.00000762939453, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 75.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:27,554 - Epoch 7: {'AUC': 0.6614365577697754, 'Precision': 0.41025644540786743, 'Recall': 0.18897637724876404, 'all_positives': 31.75, 'f1_score_metric': 19.535444259643555, 'loss': 1.2275631427764893, 'precision_with_threshold_fixed': 20.374998092651367, 'recall_mul_prediction': 463.3750305175781, 'recall_with_threshold_fixed': 0.625, 'true_positives': 463.375, 'val_AUC': 0.5836734771728516, 'val_Precision': 0.75, 'val_Recall': 0.20000001788139343, 'val_all_positives': 15.0, 'val_f1_score_metric': 6.315789699554443, 'val_loss': 1.2318247556686401, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 60.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 60.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:28,835 - Epoch 8: {'AUC': 0.6578267216682434, 'Precision': 0.45945948362350464, 'Recall': 0.13385826349258423, 'all_positives': 31.75, 'f1_score_metric': 13.862068176269531, 'loss': 1.2250087261199951, 'precision_with_threshold_fixed': 15.749998092651367, 'recall_mul_prediction': 296.625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 296.625, 'val_AUC': 0.5659864544868469, 'val_Precision': 1.0, 'val_Recall': 0.13333334028720856, 'val_all_positives': 15.0, 'val_f1_score_metric': 3.529411792755127, 'val_loss': 1.2265619039535522, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 30.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 30.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:29,912 - Epoch 9: {'AUC': 0.670116126537323, 'Precision': 0.442307710647583, 'Recall': 0.18110236525535583, 'all_positives': 31.75, 'f1_score_metric': 17.43758773803711, 'loss': 1.2223647832870483, 'precision_with_threshold_fixed': 13.624999046325684, 'recall_mul_prediction': 400.625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 400.625, 'val_AUC': 0.547619104385376, 'val_Precision': 0.23076924681663513, 'val_Recall': 0.20000001788139343, 'val_all_positives': 15.0, 'val_f1_score_metric': 13.928572654724121, 'val_loss': 1.2303996086120605, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 195.00003051757812, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 195.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:31,035 - Epoch 10: {'AUC': 0.6625747680664062, 'Precision': 0.41059601306915283, 'Recall': 0.24409449100494385, 'all_positives': 31.75, 'f1_score_metric': 22.34576416015625, 'loss': 1.2200067043304443, 'precision_with_threshold_fixed': 12.0, 'recall_mul_prediction': 600.25, 'recall_with_threshold_fixed': 0.625, 'true_positives': 600.25, 'val_AUC': 0.5802721977233887, 'val_Precision': 0.75, 'val_Recall': 0.20000001788139343, 'val_all_positives': 15.0, 'val_f1_score_metric': 6.315789699554443, 'val_loss': 1.2239017486572266, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 60.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 60.0, 'learning_rate': 9.999999747378752e-06}
2025-01-14 21:48:32,165 - Epoch 11: {'AUC': 0.6916184425354004, 'Precision': 0.4661017060279846, 'Recall': 0.21653543412685394, 'all_positives': 31.75, 'f1_score_metric': 20.036067962646484, 'loss': 1.2176330089569092, 'precision_with_threshold_fixed': 14.749999046325684, 'recall_mul_prediction': 496.625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 496.625, 'val_AUC': 0.5571429133415222, 'val_Precision': 0.6000000238418579, 'val_Recall': 0.20000001788139343, 'val_all_positives': 15.0, 'val_f1_score_metric': 7.500000953674316, 'val_loss': 1.2251743078231812, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 75.00000762939453, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 75.0, 'learning_rate': 3.330000026835478e-06}
