2025-01-14 15:17:55,695 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.6106442809104919, 'all_positives': 59.00212860107422, 'f1_score_metric': 49.89720153808594, 'loss': 0.5965431928634644, 'precision_with_threshold_fixed': 31.940593719482422, 'recall_mul_prediction': 4295.7861328125, 'recall_with_threshold_fixed': 4.5, 'true_positives': 4295.7861328125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.538284420967102, 'val_precision_with_threshold_fixed': 32.9687385559082, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:17:57,226 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.16246499121189117, 'all_positives': 59.00212097167969, 'f1_score_metric': 21.613401412963867, 'loss': 0.5486598014831543, 'precision_with_threshold_fixed': 17.185880661010742, 'recall_mul_prediction': 1084.1702880859375, 'recall_with_threshold_fixed': 0.5, 'true_positives': 1084.1702880859375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.984375, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.28556823730469, 'val_loss': 0.5021302103996277, 'val_precision_with_threshold_fixed': 32.9687385559082, 'val_recall_mul_prediction': 2077.03076171875, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 2077.03076171875, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:17:58,672 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.7871148586273193, 'all_positives': 59.00212097167969, 'f1_score_metric': 72.28865051269531, 'loss': 0.5111112594604492, 'precision_with_threshold_fixed': 59.00212097167969, 'recall_mul_prediction': 5748.3017578125, 'recall_with_threshold_fixed': 2.1666667461395264, 'true_positives': 5748.3017578125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.984375, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.28556823730469, 'val_loss': 0.46524494886398315, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2077.03076171875, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2077.03076171875, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:17:59,981 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.48739495873451233, 'all_positives': 59.00212860107422, 'f1_score_metric': 56.24532699584961, 'loss': 0.4752403497695923, 'precision_with_threshold_fixed': 38.094696044921875, 'recall_mul_prediction': 3447.3056640625, 'recall_with_threshold_fixed': 1.0, 'true_positives': 3447.3056640625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.42850610613822937, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:01,312 - Epoch 5: {'AUC': 0.0, 'Precision': 0.9999999403953552, 'Recall': 0.3403361439704895, 'all_positives': 59.00212860107422, 'f1_score_metric': 44.409706115722656, 'loss': 0.4397418200969696, 'precision_with_threshold_fixed': 31.582218170166016, 'recall_mul_prediction': 2462.87939453125, 'recall_with_threshold_fixed': 0.5, 'true_positives': 2462.87939453125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.3965446352958679, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:02,522 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.6540616154670715, 'all_positives': 59.00212860107422, 'f1_score_metric': 66.87808227539062, 'loss': 0.4068301320075989, 'precision_with_threshold_fixed': 21.647680282592773, 'recall_mul_prediction': 4693.40966796875, 'recall_with_threshold_fixed': 0.5, 'true_positives': 4693.40966796875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.3644965887069702, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:03,894 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.6176470518112183, 'all_positives': 59.00212860107422, 'f1_score_metric': 64.95964813232422, 'loss': 0.3748002350330353, 'precision_with_threshold_fixed': 10.480570793151855, 'recall_mul_prediction': 4478.505859375, 'recall_with_threshold_fixed': 0.1666666567325592, 'true_positives': 4478.505859375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.3370927572250366, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:05,231 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.7030812501907349, 'all_positives': 59.00212097167969, 'f1_score_metric': 68.96063232421875, 'loss': 0.34615641832351685, 'precision_with_threshold_fixed': 38.461021423339844, 'recall_mul_prediction': 5077.533203125, 'recall_with_threshold_fixed': 1.0, 'true_positives': 5077.533203125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.31034862995147705, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:06,426 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.5798319578170776, 'all_positives': 59.00212097167969, 'f1_score_metric': 63.5649528503418, 'loss': 0.3181068003177643, 'precision_with_threshold_fixed': 10.73678207397461, 'recall_mul_prediction': 4181.12353515625, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 4181.12353515625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.28553757071495056, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:07,639 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.5742297172546387, 'all_positives': 59.00212860107422, 'f1_score_metric': 63.16676330566406, 'loss': 0.29307079315185547, 'precision_with_threshold_fixed': 10.992213249206543, 'recall_mul_prediction': 4134.66162109375, 'recall_with_threshold_fixed': 0.1666666865348816, 'true_positives': 4134.66162109375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.2607235610485077, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
2025-01-14 15:18:08,828 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.6722689270973206, 'all_positives': 59.00212097167969, 'f1_score_metric': 67.6894302368164, 'loss': 0.2698713541030884, 'precision_with_threshold_fixed': 31.280073165893555, 'recall_mul_prediction': 4890.9765625, 'recall_with_threshold_fixed': 0.6666666865348816, 'true_positives': 4890.97705078125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.96875, 'val_all_positives': 32.96874237060547, 'val_f1_score_metric': 43.04704666137695, 'val_loss': 0.24100086092948914, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2044.0616455078125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2044.0618896484375, 'learning_rate': 0.0003000000142492354}
