2025-01-11 14:58:33,452 - Epoch 1: {'AUC': 0.4959207773208618, 'Precision': 0.13716578483581543, 'Recall': 0.33883753418922424, 'all_positives': 17.402297973632812, 'f1_score_metric': 13.037496566772461, 'loss': 0.7394223213195801, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 738.9195556640625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 738.9195556640625, 'val_AUC': 0.511307418346405, 'val_Precision': 0.1341145932674408, 'val_Recall': 1.0, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 30.029277801513672, 'val_loss': 0.7602049708366394, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2197.33349609375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2197.33349609375, 'learning_rate': 4.999999873689376e-05}
2025-01-11 14:59:14,003 - Epoch 2: {'AUC': 0.5456343293190002, 'Precision': 0.151631161570549, 'Recall': 0.6017173528671265, 'all_positives': 17.402297973632812, 'f1_score_metric': 25.107810974121094, 'loss': 0.7307560443878174, 'precision_with_threshold_fixed': 0.4712643325328827, 'recall_mul_prediction': 1207.5286865234375, 'recall_with_threshold_fixed': 0.03448275849223137, 'true_positives': 1207.5286865234375, 'val_AUC': 0.5315788984298706, 'val_Precision': 0.13970588147640228, 'val_Recall': 0.9223300814628601, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 29.666542053222656, 'val_loss': 0.831204354763031, 'val_precision_with_threshold_fixed': 7.0, 'val_recall_mul_prediction': 1987.3333740234375, 'val_recall_with_threshold_fixed': 0.8333333730697632, 'val_true_positives': 1987.3333740234375, 'learning_rate': 4.999999873689376e-05}
2025-01-11 14:59:52,965 - Epoch 3: {'AUC': 0.5754088163375854, 'Precision': 0.16869096457958221, 'Recall': 0.49537649750709534, 'all_positives': 17.402297973632812, 'f1_score_metric': 25.27315902709961, 'loss': 0.7203097939491272, 'precision_with_threshold_fixed': 1.8160918951034546, 'recall_mul_prediction': 886.6781616210938, 'recall_with_threshold_fixed': 0.36781609058380127, 'true_positives': 886.6781616210938, 'val_AUC': 0.5466384887695312, 'val_Precision': 0.13842976093292236, 'val_Recall': 0.6504854559898376, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 28.029010772705078, 'val_loss': 0.7691091895103455, 'val_precision_with_threshold_fixed': 2.8333334922790527, 'val_recall_mul_prediction': 1405.3333740234375, 'val_recall_with_threshold_fixed': 0.3333333432674408, 'val_true_positives': 1405.3333740234375, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:00:33,183 - Epoch 4: {'AUC': 0.5829799175262451, 'Precision': 0.1735229790210724, 'Recall': 0.5237780809402466, 'all_positives': 17.402297973632812, 'f1_score_metric': 24.718358993530273, 'loss': 0.7137763500213623, 'precision_with_threshold_fixed': 9.045976638793945, 'recall_mul_prediction': 944.586181640625, 'recall_with_threshold_fixed': 1.8850574493408203, 'true_positives': 944.586181640625, 'val_AUC': 0.5535732507705688, 'val_Precision': 0.15634217858314514, 'val_Recall': 0.5145630836486816, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 26.185916900634766, 'val_loss': 0.7286900281906128, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1020.5, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1020.5, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:01:13,187 - Epoch 5: {'AUC': 0.5998469591140747, 'Precision': 0.18065984547138214, 'Recall': 0.5244386196136475, 'all_positives': 17.402297973632812, 'f1_score_metric': 25.26443862915039, 'loss': 0.7068389654159546, 'precision_with_threshold_fixed': 7.574712753295898, 'recall_mul_prediction': 884.7471313476562, 'recall_with_threshold_fixed': 1.0229885578155518, 'true_positives': 884.7471313476562, 'val_AUC': 0.55937659740448, 'val_Precision': 0.15789474546909332, 'val_Recall': 0.43689319491386414, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 25.02419090270996, 'val_loss': 0.700617253780365, 'val_precision_with_threshold_fixed': 7.0, 'val_recall_mul_prediction': 873.5, 'val_recall_with_threshold_fixed': 1.5, 'val_true_positives': 873.5, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:01:53,675 - Epoch 6: {'AUC': 0.6073331832885742, 'Precision': 0.1835501790046692, 'Recall': 0.5217965841293335, 'all_positives': 17.402297973632812, 'f1_score_metric': 24.700149536132812, 'loss': 0.7012024521827698, 'precision_with_threshold_fixed': 10.77011489868164, 'recall_mul_prediction': 870.0459594726562, 'recall_with_threshold_fixed': 2.0114941596984863, 'true_positives': 870.0459594726562, 'val_AUC': 0.5624206066131592, 'val_Precision': 0.14988291263580322, 'val_Recall': 0.6213592290878296, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 27.492286682128906, 'val_loss': 0.7817090749740601, 'val_precision_with_threshold_fixed': 17.166667938232422, 'val_recall_mul_prediction': 1257.666748046875, 'val_recall_with_threshold_fixed': 8.666666984558105, 'val_true_positives': 1257.666748046875, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:02:32,897 - Epoch 7: {'AUC': 0.6243792772293091, 'Precision': 0.19102682173252106, 'Recall': 0.5455746650695801, 'all_positives': 17.402297973632812, 'f1_score_metric': 25.029035568237305, 'loss': 0.6936053037643433, 'precision_with_threshold_fixed': 15.183908462524414, 'recall_mul_prediction': 875.4712524414062, 'recall_with_threshold_fixed': 3.4482758045196533, 'true_positives': 875.4712524414062, 'val_AUC': 0.5617417097091675, 'val_Precision': 0.14758269488811493, 'val_Recall': 0.5631067752838135, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 27.11882781982422, 'val_loss': 0.7570316195487976, 'val_precision_with_threshold_fixed': 17.166667938232422, 'val_recall_mul_prediction': 1183.5, 'val_recall_with_threshold_fixed': 6.5, 'val_true_positives': 1183.5, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:03:12,672 - Epoch 8: {'AUC': 0.6416605710983276, 'Precision': 0.20202718675136566, 'Recall': 0.5792602300643921, 'all_positives': 17.402297973632812, 'f1_score_metric': 24.914031982421875, 'loss': 0.6860849857330322, 'precision_with_threshold_fixed': 16.56321907043457, 'recall_mul_prediction': 883.6781616210938, 'recall_with_threshold_fixed': 4.735631942749023, 'true_positives': 883.6781616210938, 'val_AUC': 0.5791882276535034, 'val_Precision': 0.1634877324104309, 'val_Recall': 0.582524299621582, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 26.692684173583984, 'val_loss': 0.7426044940948486, 'val_precision_with_threshold_fixed': 17.166667938232422, 'val_recall_mul_prediction': 1104.3333740234375, 'val_recall_with_threshold_fixed': 6.833333492279053, 'val_true_positives': 1104.3333740234375, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:03:52,427 - Epoch 9: {'AUC': 0.6632522344589233, 'Precision': 0.21270382404327393, 'Recall': 0.577278733253479, 'all_positives': 17.402297973632812, 'f1_score_metric': 24.834388732910156, 'loss': 0.6731524467468262, 'precision_with_threshold_fixed': 16.724138259887695, 'recall_mul_prediction': 836.6322021484375, 'recall_with_threshold_fixed': 6.712643623352051, 'true_positives': 836.6322021484375, 'val_AUC': 0.5964376926422119, 'val_Precision': 0.1631578952074051, 'val_Recall': 0.6019417643547058, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 26.9387264251709, 'val_loss': 0.7363582849502563, 'val_precision_with_threshold_fixed': 17.166667938232422, 'val_recall_mul_prediction': 1146.0, 'val_recall_with_threshold_fixed': 8.666666984558105, 'val_true_positives': 1146.0, 'learning_rate': 4.999999873689376e-05}
2025-01-11 15:04:31,638 - Epoch 10: {'AUC': 0.7019262313842773, 'Precision': 0.23350125551223755, 'Recall': 0.6122853755950928, 'all_positives': 17.402297973632812, 'f1_score_metric': 24.71935272216797, 'loss': 0.6494592428207397, 'precision_with_threshold_fixed': 17.402297973632812, 'recall_mul_prediction': 802.72412109375, 'recall_with_threshold_fixed': 9.563218116760254, 'true_positives': 802.72412109375, 'val_AUC': 0.5819768309593201, 'val_Precision': 0.16806723177433014, 'val_Recall': 0.582524299621582, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 26.543643951416016, 'val_loss': 0.7442334890365601, 'val_precision_with_threshold_fixed': 17.166667938232422, 'val_recall_mul_prediction': 1074.3333740234375, 'val_recall_with_threshold_fixed': 15.0, 'val_true_positives': 1074.3333740234375, 'learning_rate': 1.6649999452056363e-05}
2025-01-11 15:05:11,766 - Epoch 11: {'AUC': 0.7282253503799438, 'Precision': 0.2524607479572296, 'Recall': 0.6268163919448853, 'all_positives': 17.402297973632812, 'f1_score_metric': 24.440847396850586, 'loss': 0.631015956401825, 'precision_with_threshold_fixed': 17.402297973632812, 'recall_mul_prediction': 763.72412109375, 'recall_with_threshold_fixed': 11.931034088134766, 'true_positives': 763.72412109375, 'val_AUC': 0.57081538438797, 'val_Precision': 0.16403785347938538, 'val_Recall': 0.5048543810844421, 'val_all_positives': 17.166667938232422, 'val_f1_score_metric': 25.843223571777344, 'val_loss': 0.7294245958328247, 'val_precision_with_threshold_fixed': 17.166667938232422, 'val_recall_mul_prediction': 959.1666870117188, 'val_recall_with_threshold_fixed': 18.5, 'val_true_positives': 959.1666870117188, 'learning_rate': 1.6649999452056363e-05}
