prediction_index,threshold,TPs,FPs,FNs,Precision,Recall,Random-Guess
1,1.0,0,0,46,1.0,0.0,0.15282392026578073
1,0.27669230103492737,0,1,46,0.0,0.0,0.15282392026578073
1,0.2725619077682495,1,1,45,0.5,0.021739130434782608,0.15282392026578073
1,0.270541787147522,1,2,45,0.3333333333333333,0.021739130434782608,0.15282392026578073
1,0.2686749994754791,1,3,45,0.25,0.021739130434782608,0.15282392026578073
1,0.2657231390476227,2,3,44,0.4,0.043478260869565216,0.15282392026578073
1,0.2655908465385437,3,3,43,0.5,0.06521739130434782,0.15282392026578073
1,0.2627786695957184,4,3,42,0.5714285714285714,0.08695652173913043,0.15282392026578073
1,0.2567290961742401,4,4,42,0.5,0.08695652173913043,0.15282392026578073
1,0.24956727027893066,4,5,42,0.4444444444444444,0.08695652173913043,0.15282392026578073
1,0.2487681657075882,5,5,41,0.5,0.10869565217391304,0.15282392026578073
1,0.24547800421714783,5,6,41,0.45454545454545453,0.10869565217391304,0.15282392026578073
1,0.23647211492061615,5,7,41,0.4166666666666667,0.10869565217391304,0.15282392026578073
1,0.2358407974243164,5,8,41,0.38461538461538464,0.10869565217391304,0.15282392026578073
1,0.23243579268455505,5,9,41,0.35714285714285715,0.10869565217391304,0.15282392026578073
1,0.23003560304641724,5,10,41,0.3333333333333333,0.10869565217391304,0.15282392026578073
1,0.2277430146932602,5,11,41,0.3125,0.10869565217391304,0.15282392026578073
1,0.22350789606571198,5,12,41,0.29411764705882354,0.10869565217391304,0.15282392026578073
1,0.22243893146514893,6,12,40,0.3333333333333333,0.13043478260869565,0.15282392026578073
1,0.221666619181633,7,12,39,0.3684210526315789,0.15217391304347827,0.15282392026578073
1,0.2178695797920227,8,12,38,0.4,0.17391304347826086,0.15282392026578073
1,0.21762323379516602,8,13,38,0.38095238095238093,0.17391304347826086,0.15282392026578073
1,0.2160429209470749,8,14,38,0.36363636363636365,0.17391304347826086,0.15282392026578073
1,0.21322232484817505,8,15,38,0.34782608695652173,0.17391304347826086,0.15282392026578073
1,0.21180924773216248,8,16,38,0.3333333333333333,0.17391304347826086,0.15282392026578073
1,0.21055777370929718,8,17,38,0.32,0.17391304347826086,0.15282392026578073
1,0.20930901169776917,8,18,38,0.3076923076923077,0.17391304347826086,0.15282392026578073
1,0.20017480850219727,8,19,38,0.2962962962962963,0.17391304347826086,0.15282392026578073
1,0.19361992180347443,8,20,38,0.2857142857142857,0.17391304347826086,0.15282392026578073
1,0.19075384736061096,8,21,38,0.27586206896551724,0.17391304347826086,0.15282392026578073
1,0.1889570951461792,9,21,37,0.3,0.1956521739130435,0.15282392026578073
1,0.18539471924304962,9,22,37,0.2903225806451613,0.1956521739130435,0.15282392026578073
1,0.1848774552345276,9,23,37,0.28125,0.1956521739130435,0.15282392026578073
1,0.18451014161109924,9,24,37,0.2727272727272727,0.1956521739130435,0.15282392026578073
1,0.18154408037662506,9,25,37,0.2647058823529412,0.1956521739130435,0.15282392026578073
1,0.18148139119148254,9,26,37,0.2571428571428571,0.1956521739130435,0.15282392026578073
1,0.18015353381633759,9,27,37,0.25,0.1956521739130435,0.15282392026578073
1,0.17791877686977386,9,28,37,0.24324324324324326,0.1956521739130435,0.15282392026578073
1,0.17661592364311218,9,29,37,0.23684210526315788,0.1956521739130435,0.15282392026578073
1,0.17506541311740875,9,30,37,0.23076923076923078,0.1956521739130435,0.15282392026578073
1,0.17480367422103882,10,30,36,0.25,0.21739130434782608,0.15282392026578073
1,0.17449399828910828,10,31,36,0.24390243902439024,0.21739130434782608,0.15282392026578073
1,0.17417891323566437,10,32,36,0.23809523809523808,0.21739130434782608,0.15282392026578073
1,0.17371638119220734,11,32,35,0.2558139534883721,0.2391304347826087,0.15282392026578073
1,0.1733652651309967,11,33,35,0.25,0.2391304347826087,0.15282392026578073
1,0.17333120107650757,12,33,34,0.26666666666666666,0.2608695652173913,0.15282392026578073
1,0.17228814959526062,12,34,34,0.2608695652173913,0.2608695652173913,0.15282392026578073
1,0.1714111864566803,12,35,34,0.2553191489361702,0.2608695652173913,0.15282392026578073
1,0.17102043330669403,12,36,34,0.25,0.2608695652173913,0.15282392026578073
1,0.1701202243566513,12,37,34,0.24489795918367346,0.2608695652173913,0.15282392026578073
1,0.1697702705860138,12,38,34,0.24,0.2608695652173913,0.15282392026578073
1,0.16908399760723114,12,39,34,0.23529411764705882,0.2608695652173913,0.15282392026578073
1,0.16895905137062073,13,39,33,0.25,0.2826086956521739,0.15282392026578073
1,0.16888582706451416,14,39,32,0.2641509433962264,0.30434782608695654,0.15282392026578073
1,0.1687675267457962,14,40,32,0.25925925925925924,0.30434782608695654,0.15282392026578073
1,0.16757458448410034,14,41,32,0.2545454545454545,0.30434782608695654,0.15282392026578073
1,0.16756917536258698,14,42,32,0.25,0.30434782608695654,0.15282392026578073
1,0.16688621044158936,14,43,32,0.24561403508771928,0.30434782608695654,0.15282392026578073
1,0.16375544667243958,14,44,32,0.2413793103448276,0.30434782608695654,0.15282392026578073
1,0.16255946457386017,14,45,32,0.23728813559322035,0.30434782608695654,0.15282392026578073
1,0.16236087679862976,14,46,32,0.23333333333333334,0.30434782608695654,0.15282392026578073
