2025-01-14 13:50:41,525 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.2743484079837799, 'all_positives': 60.28409957885742, 'f1_score_metric': 29.64934539794922, 'loss': 1.2362749576568604, 'precision_with_threshold_fixed': 18.448455810546875, 'recall_mul_prediction': 2001.1878662109375, 'recall_with_threshold_fixed': 3.1666667461395264, 'true_positives': 2001.1878662109375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.0634920671582222, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 7.1204514503479, 'val_loss': 1.1339735984802246, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 129.52920532226562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 129.52920532226562, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:43,336 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.19204390048980713, 'all_positives': 60.28410339355469, 'f1_score_metric': 24.937223434448242, 'loss': 1.1189857721328735, 'precision_with_threshold_fixed': 10.599807739257812, 'recall_mul_prediction': 1281.4666748046875, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 1281.466796875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.777015686035156, 'val_loss': 1.0273513793945312, 'val_precision_with_threshold_fixed': 32.38229751586914, 'val_recall_mul_prediction': 2040.085205078125, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 2040.0850830078125, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:44,795 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.8285322189331055, 'all_positives': 60.28411102294922, 'f1_score_metric': 71.64778137207031, 'loss': 1.007151484489441, 'precision_with_threshold_fixed': 10.777464866638184, 'recall_mul_prediction': 6376.66796875, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 6376.66796875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.0317460335791111, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 3.767322063446045, 'val_loss': 0.9203080534934998, 'val_precision_with_threshold_fixed': 32.38229751586914, 'val_recall_mul_prediction': 64.76460266113281, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 64.76460266113281, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:46,248 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.4444444477558136, 'all_positives': 60.28409957885742, 'f1_score_metric': 40.2680549621582, 'loss': 0.9040111303329468, 'precision_with_threshold_fixed': 10.52173900604248, 'recall_mul_prediction': 3109.20849609375, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 3109.20849609375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9841270446777344, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.54405212402344, 'val_loss': 0.8174034357070923, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2007.7025146484375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2007.70263671875, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:47,712 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.8998628258705139, 'all_positives': 60.28410339355469, 'f1_score_metric': 77.2838134765625, 'loss': 0.8061457276344299, 'precision_with_threshold_fixed': 22.144378662109375, 'recall_mul_prediction': 6833.2099609375, 'recall_with_threshold_fixed': 0.5000001192092896, 'true_positives': 6833.20849609375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.01587301678955555, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 1.940087914466858, 'val_loss': 0.727936327457428, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 32.38229751586914, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 32.382301330566406, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:49,102 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.1179698184132576, 'all_positives': 60.28410339355469, 'f1_score_metric': 16.984848022460938, 'loss': 0.7176400423049927, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 735.1488037109375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 735.148681640625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9841270446777344, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.54405212402344, 'val_loss': 0.6439117193222046, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2007.7025146484375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2007.70263671875, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:50,392 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.890260636806488, 'all_positives': 60.28411102294922, 'f1_score_metric': 77.177734375, 'loss': 0.6367023587226868, 'precision_with_threshold_fixed': 31.938262939453125, 'recall_mul_prediction': 6685.5458984375, 'recall_with_threshold_fixed': 0.5, 'true_positives': 6685.5458984375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.0317460335791111, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 3.767322063446045, 'val_loss': 0.5683029890060425, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 64.76460266113281, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 64.76460266113281, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:51,722 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.1179698184132576, 'all_positives': 60.28409957885742, 'f1_score_metric': 21.069561004638672, 'loss': 0.5632421970367432, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 889.1312255859375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 889.1312255859375, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.5005006790161133, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:53,020 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.06172839552164078, 'all_positives': 60.28410339355469, 'f1_score_metric': 13.025599479675293, 'loss': 0.49822431802749634, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 449.3914794921875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 449.3914794921875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.0317460335791111, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 3.767322063446045, 'val_loss': 0.439177930355072, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 64.76460266113281, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 64.76460266113281, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:54,324 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.5500685572624207, 'all_positives': 60.28409957885742, 'f1_score_metric': 60.78472137451172, 'loss': 0.4400671720504761, 'precision_with_threshold_fixed': 10.390579223632812, 'recall_mul_prediction': 4011.422607421875, 'recall_with_threshold_fixed': 0.1666666567325592, 'true_positives': 4011.422607421875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.523809552192688, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 32.688232421875, 'val_loss': 0.3837813436985016, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1068.615966796875, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1068.615966796875, 'learning_rate': 0.0003000000142492354}
2025-01-14 13:50:55,691 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.49519890546798706, 'all_positives': 60.28410339355469, 'f1_score_metric': 59.994110107421875, 'loss': 0.3883918523788452, 'precision_with_threshold_fixed': 10.74289321899414, 'recall_mul_prediction': 3737.82763671875, 'recall_with_threshold_fixed': 0.1666666865348816, 'true_positives': 3737.82763671875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.01587301678955555, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 1.940087914466858, 'val_loss': 0.335964173078537, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 32.38229751586914, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 32.382301330566406, 'learning_rate': 0.0003000000142492354}
