2025-01-14 21:47:23,533 - Epoch 1: {'AUC': 0.4912681579589844, 'Precision': 1.0, 'Recall': 0.011811023578047752, 'all_positives': 31.75, 'f1_score_metric': 0.7238001227378845, 'loss': 1.2588993310928345, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 11.624999046325684, 'recall_with_threshold_fixed': 0.0, 'true_positives': 11.625, 'val_AUC': 0.6394557952880859, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 15.0, 'val_f1_score_metric': 0.0, 'val_loss': 1.2311055660247803, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:24,825 - Epoch 2: {'AUC': 0.5426251888275146, 'Precision': 0.2650602459907532, 'Recall': 0.6062992215156555, 'all_positives': 31.75, 'f1_score_metric': 35.046077728271484, 'loss': 1.2379388809204102, 'precision_with_threshold_fixed': 9.624999046325684, 'recall_mul_prediction': 2200.625, 'recall_with_threshold_fixed': 0.25, 'true_positives': 2200.625, 'val_AUC': 0.6278911828994751, 'val_Precision': 0.234375, 'val_Recall': 1.0, 'val_all_positives': 15.0, 'val_f1_score_metric': 24.30379867553711, 'val_loss': 1.2564222812652588, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 960.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 960.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:25,989 - Epoch 3: {'AUC': 0.59733647108078, 'Precision': 0.26910656690597534, 'Recall': 0.9842519760131836, 'all_positives': 31.75, 'f1_score_metric': 49.642921447753906, 'loss': 1.2289257049560547, 'precision_with_threshold_fixed': 20.624998092651367, 'recall_mul_prediction': 3770.125244140625, 'recall_with_threshold_fixed': 0.75, 'true_positives': 3770.125, 'val_AUC': 0.5503401756286621, 'val_Precision': 0.22580644488334656, 'val_Recall': 0.9333333969116211, 'val_all_positives': 15.0, 'val_f1_score_metric': 24.155845642089844, 'val_loss': 1.2464499473571777, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 930.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 930.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:27,062 - Epoch 4: {'AUC': 0.6294868588447571, 'Precision': 0.3229927122592926, 'Recall': 0.6968504190444946, 'all_positives': 31.75, 'f1_score_metric': 40.27235412597656, 'loss': 1.2212382555007935, 'precision_with_threshold_fixed': 19.499998092651367, 'recall_mul_prediction': 2296.875, 'recall_with_threshold_fixed': 0.75, 'true_positives': 2296.875, 'val_AUC': 0.6061224937438965, 'val_Precision': 1.0, 'val_Recall': 0.13333334028720856, 'val_all_positives': 15.0, 'val_f1_score_metric': 3.529411792755127, 'val_loss': 1.224206805229187, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 30.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 30.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:28,135 - Epoch 5: {'AUC': 0.6694892644882202, 'Precision': 0.5, 'Recall': 0.17322835326194763, 'all_positives': 31.75, 'f1_score_metric': 15.930997848510742, 'loss': 1.2145631313323975, 'precision_with_threshold_fixed': 21.499998092651367, 'recall_mul_prediction': 346.25, 'recall_with_threshold_fixed': 0.75, 'true_positives': 346.25, 'val_AUC': 0.5965986251831055, 'val_Precision': 0.4000000059604645, 'val_Recall': 0.13333334028720856, 'val_all_positives': 15.0, 'val_f1_score_metric': 7.500000953674316, 'val_loss': 1.2193303108215332, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 75.00000762939453, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 75.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:29,249 - Epoch 6: {'AUC': 0.6723842620849609, 'Precision': 0.4291338622570038, 'Recall': 0.4291338622570038, 'all_positives': 31.75, 'f1_score_metric': 30.394929885864258, 'loss': 1.208102822303772, 'precision_with_threshold_fixed': 20.749998092651367, 'recall_mul_prediction': 1005.25, 'recall_with_threshold_fixed': 0.75, 'true_positives': 1005.25, 'val_AUC': 0.58299320936203, 'val_Precision': 0.3199999928474426, 'val_Recall': 0.5333333611488342, 'val_all_positives': 15.0, 'val_f1_score_metric': 18.750001907348633, 'val_loss': 1.2213362455368042, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 375.0000305175781, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 375.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:30,294 - Epoch 7: {'AUC': 0.6571091413497925, 'Precision': 0.33208954334259033, 'Recall': 0.7007874250411987, 'all_positives': 31.75, 'f1_score_metric': 41.109092712402344, 'loss': 1.202810287475586, 'precision_with_threshold_fixed': 20.249998092651367, 'recall_mul_prediction': 2104.5, 'recall_with_threshold_fixed': 0.75, 'true_positives': 2104.5, 'val_AUC': 0.5809524059295654, 'val_Precision': 0.25, 'val_Recall': 0.6666666865348816, 'val_all_positives': 15.0, 'val_f1_score_metric': 21.81818389892578, 'val_loss': 1.22078537940979, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 600.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 600.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 21:47:31,376 - Epoch 8: {'AUC': 0.7033991813659668, 'Precision': 0.4088050425052643, 'Recall': 0.5118110179901123, 'all_positives': 31.75, 'f1_score_metric': 34.809600830078125, 'loss': 1.196606159210205, 'precision_with_threshold_fixed': 11.875, 'recall_mul_prediction': 1300.25, 'recall_with_threshold_fixed': 0.75, 'true_positives': 1300.25, 'val_AUC': 0.5877551436424255, 'val_Precision': 0.5, 'val_Recall': 0.3333333432674408, 'val_all_positives': 15.0, 'val_f1_score_metric': 12.000000953674316, 'val_loss': 1.206817388534546, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 150.00001525878906, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 150.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 21:47:32,446 - Epoch 9: {'AUC': 0.6942743062973022, 'Precision': 0.4895104765892029, 'Recall': 0.27559053897857666, 'all_positives': 31.75, 'f1_score_metric': 22.140426635742188, 'loss': 1.1949188709259033, 'precision_with_threshold_fixed': 11.875, 'recall_mul_prediction': 570.375, 'recall_with_threshold_fixed': 0.75, 'true_positives': 570.375, 'val_AUC': 0.5721088647842407, 'val_Precision': 0.7142857313156128, 'val_Recall': 0.3333333432674408, 'val_all_positives': 15.0, 'val_f1_score_metric': 9.545454978942871, 'val_loss': 1.2001233100891113, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 105.00001525878906, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 105.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 21:47:33,487 - Epoch 10: {'AUC': 0.695940375328064, 'Precision': 0.4280000329017639, 'Recall': 0.4212598502635956, 'all_positives': 31.75, 'f1_score_metric': 29.351398468017578, 'loss': 1.1926106214523315, 'precision_with_threshold_fixed': 20.499998092651367, 'recall_mul_prediction': 969.5, 'recall_with_threshold_fixed': 0.75, 'true_positives': 969.5, 'val_AUC': 0.605442225933075, 'val_Precision': 0.2666666805744171, 'val_Recall': 0.5333333611488342, 'val_all_positives': 15.0, 'val_f1_score_metric': 20.000001907348633, 'val_loss': 1.2125897407531738, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 450.00006103515625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 450.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 21:47:34,491 - Epoch 11: {'AUC': 0.7142369747161865, 'Precision': 0.4009546637535095, 'Recall': 0.6614173054695129, 'all_positives': 31.75, 'f1_score_metric': 39.29276657104492, 'loss': 1.1900933980941772, 'precision_with_threshold_fixed': 24.124998092651367, 'recall_mul_prediction': 1706.875, 'recall_with_threshold_fixed': 0.75, 'true_positives': 1706.875, 'val_AUC': 0.5863946080207825, 'val_Precision': 0.24242424964904785, 'val_Recall': 0.5333333611488342, 'val_all_positives': 15.0, 'val_f1_score_metric': 20.625, 'val_loss': 1.2113533020019531, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 495.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 495.0, 'learning_rate': 9.989999853132758e-06}
