2025-01-14 19:14:50,181 - Epoch 1: {'AUC': 0.5122194290161133, 'Precision': 0.11480362713336945, 'Recall': 0.32478633522987366, 'all_positives': 14.625, 'f1_score_metric': 17.09866714477539, 'loss': 1.241113305091858, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 593.3750610351562, 'recall_with_threshold_fixed': 0.0, 'true_positives': 593.375, 'val_AUC': 0.3017241358757019, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 3.0, 'val_loss': 1.201127290725708, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 12.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 12.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:51,656 - Epoch 2: {'AUC': 0.6920422911643982, 'Precision': 0.22457626461982727, 'Recall': 0.4529914855957031, 'all_positives': 14.625, 'f1_score_metric': 16.198808670043945, 'loss': 1.2051750421524048, 'precision_with_threshold_fixed': 2.749999761581421, 'recall_mul_prediction': 395.2500305175781, 'recall_with_threshold_fixed': 0.25, 'true_positives': 395.25, 'val_AUC': 0.2931034564971924, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 4.0, 'val_loss': 1.1679449081420898, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 18.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 18.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:53,055 - Epoch 3: {'AUC': 0.76227205991745, 'Precision': 0.2808510661125183, 'Recall': 0.5641025900840759, 'all_positives': 14.625, 'f1_score_metric': 19.27971839904785, 'loss': 1.1655641794204712, 'precision_with_threshold_fixed': 9.0, 'recall_mul_prediction': 444.5, 'recall_with_threshold_fixed': 1.125, 'true_positives': 444.5, 'val_AUC': 0.3103448450565338, 'val_Precision': 0.03703703731298447, 'val_Recall': 0.1666666716337204, 'val_all_positives': 6.0, 'val_f1_score_metric': 9.818181991577148, 'val_loss': 1.2213599681854248, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 162.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 162.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:54,164 - Epoch 4: {'AUC': 0.7480838298797607, 'Precision': 0.2591361999511719, 'Recall': 0.6666666865348816, 'all_positives': 14.625, 'f1_score_metric': 20.21505355834961, 'loss': 1.1292921304702759, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 561.625, 'recall_with_threshold_fixed': 4.0, 'true_positives': 561.625, 'val_AUC': 0.30890804529190063, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 8.0, 'val_loss': 1.1429775953292847, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 72.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 72.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:55,409 - Epoch 5: {'AUC': 0.7192113399505615, 'Precision': 0.21779142320156097, 'Recall': 0.6068376302719116, 'all_positives': 14.625, 'f1_score_metric': 18.274311065673828, 'loss': 1.1111985445022583, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 589.875, 'recall_with_threshold_fixed': 7.375, 'true_positives': 589.875, 'val_AUC': 0.32614943385124207, 'val_Precision': 0.06666667014360428, 'val_Recall': 0.5, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.588235855102539, 'val_loss': 1.3042324781417847, 'val_precision_with_threshold_fixed': 6.0, 'val_recall_mul_prediction': 270.0, 'val_recall_with_threshold_fixed': 2.0, 'val_true_positives': 270.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:56,640 - Epoch 6: {'AUC': 0.7533843517303467, 'Precision': 0.26886793971061707, 'Recall': 0.4871795177459717, 'all_positives': 14.625, 'f1_score_metric': 15.795265197753906, 'loss': 1.090133786201477, 'precision_with_threshold_fixed': 13.125, 'recall_mul_prediction': 378.75, 'recall_with_threshold_fixed': 4.75, 'true_positives': 378.75, 'val_AUC': 0.33908048272132874, 'val_Precision': 0.05999999865889549, 'val_Recall': 0.5, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.714285850524902, 'val_loss': 1.3513765335083008, 'val_precision_with_threshold_fixed': 6.0, 'val_recall_mul_prediction': 300.0, 'val_recall_with_threshold_fixed': 5.0, 'val_true_positives': 300.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:57,784 - Epoch 7: {'AUC': 0.7803080081939697, 'Precision': 0.2093496024608612, 'Recall': 0.8803419470787048, 'all_positives': 14.625, 'f1_score_metric': 22.008319854736328, 'loss': 1.0651894807815552, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 893.625, 'recall_with_threshold_fixed': 11.25, 'true_positives': 893.625, 'val_AUC': 0.3649425506591797, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 6.0, 'val_loss': 1.0039949417114258, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 36.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 36.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:14:59,252 - Epoch 8: {'AUC': 0.8041203618049622, 'Precision': 0.296875, 'Recall': 0.6495726704597473, 'all_positives': 14.625, 'f1_score_metric': 18.692031860351562, 'loss': 1.0259193181991577, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 493.75, 'recall_with_threshold_fixed': 6.75, 'true_positives': 493.75, 'val_AUC': 0.36925289034843445, 'val_Precision': 0.07692307978868484, 'val_Recall': 0.6666666865348816, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.758620262145996, 'val_loss': 1.4340274333953857, 'val_precision_with_threshold_fixed': 6.0, 'val_recall_mul_prediction': 312.0, 'val_recall_with_threshold_fixed': 13.0, 'val_true_positives': 312.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:15:00,550 - Epoch 9: {'AUC': 0.7814202308654785, 'Precision': 0.24624624848365784, 'Recall': 0.7008547186851501, 'all_positives': 14.625, 'f1_score_metric': 18.616071701049805, 'loss': 1.0284868478775024, 'precision_with_threshold_fixed': 13.125, 'recall_mul_prediction': 679.5, 'recall_with_threshold_fixed': 13.25, 'true_positives': 679.5, 'val_AUC': 0.3735632300376892, 'val_Precision': 0.1111111119389534, 'val_Recall': 0.1666666716337204, 'val_all_positives': 6.0, 'val_f1_score_metric': 7.200000286102295, 'val_loss': 1.0157887935638428, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 54.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 54.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:15:01,655 - Epoch 10: {'AUC': 0.831970751285553, 'Precision': 0.23146067559719086, 'Recall': 0.8803419470787048, 'all_positives': 14.625, 'f1_score_metric': 22.164325714111328, 'loss': 0.9914119243621826, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 840.375, 'recall_with_threshold_fixed': 19.5, 'true_positives': 840.375, 'val_AUC': 0.3663793206214905, 'val_Precision': 0.0833333358168602, 'val_Recall': 0.1666666716337204, 'val_all_positives': 6.0, 'val_f1_score_metric': 8.0, 'val_loss': 1.0398746728897095, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 72.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 72.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:15:02,759 - Epoch 11: {'AUC': 0.8481980562210083, 'Precision': 0.39080458879470825, 'Recall': 0.5811966061592102, 'all_positives': 14.625, 'f1_score_metric': 16.525253295898438, 'loss': 0.9784673452377319, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 316.875, 'recall_with_threshold_fixed': 6.25, 'true_positives': 316.875, 'val_AUC': 0.36206895112991333, 'val_Precision': 0.07692307978868484, 'val_Recall': 0.5, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.40000057220459, 'val_loss': 1.3194259405136108, 'val_precision_with_threshold_fixed': 6.0, 'val_recall_mul_prediction': 234.0, 'val_recall_with_threshold_fixed': 11.0, 'val_true_positives': 234.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:15:04,256 - Epoch 12: {'AUC': 0.8224568367004395, 'Precision': 0.23021583259105682, 'Recall': 0.8205128908157349, 'all_positives': 14.625, 'f1_score_metric': 21.5188045501709, 'loss': 0.9759159684181213, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 788.5, 'recall_with_threshold_fixed': 20.375, 'true_positives': 788.5, 'val_AUC': 0.36063218116760254, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 6.0, 'val_loss': 0.9400601983070374, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 36.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 36.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:15:05,366 - Epoch 13: {'AUC': 0.8473814129829407, 'Precision': 0.3181818127632141, 'Recall': 0.7777777910232544, 'all_positives': 14.625, 'f1_score_metric': 19.402191162109375, 'loss': 0.9414891600608826, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 515.75, 'recall_with_threshold_fixed': 11.25, 'true_positives': 515.75, 'val_AUC': 0.36925289034843445, 'val_Precision': 0.07407407462596893, 'val_Recall': 0.3333333432674408, 'val_all_positives': 6.0, 'val_f1_score_metric': 9.818181991577148, 'val_loss': 1.2198350429534912, 'val_precision_with_threshold_fixed': 6.0, 'val_recall_mul_prediction': 162.0, 'val_recall_with_threshold_fixed': 10.0, 'val_true_positives': 162.0, 'learning_rate': 9.999999747378752e-05}
2025-01-14 19:15:06,443 - Epoch 14: {'AUC': 0.8824662566184998, 'Precision': 0.3680000305175781, 'Recall': 0.7863247990608215, 'all_positives': 14.625, 'f1_score_metric': 19.347606658935547, 'loss': 0.8995503187179565, 'precision_with_threshold_fixed': 14.625, 'recall_mul_prediction': 460.375, 'recall_with_threshold_fixed': 11.0, 'true_positives': 460.375, 'val_AUC': 0.36781612038612366, 'val_Precision': 0.11764705926179886, 'val_Recall': 0.3333333432674408, 'val_all_positives': 6.0, 'val_f1_score_metric': 8.8695650100708, 'val_loss': 1.1307973861694336, 'val_precision_with_threshold_fixed': 6.000000476837158, 'val_recall_mul_prediction': 102.0, 'val_recall_with_threshold_fixed': 7.0, 'val_true_positives': 102.0, 'learning_rate': 9.999999747378752e-05}
