2025-01-13 14:45:19,106 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.9711042642593384, 'all_positives': 109.92279815673828, 'f1_score_metric': 113.46633911132812, 'loss': 5.2491374015808105, 'precision_with_threshold_fixed': 80.92933654785156, 'recall_mul_prediction': 13209.61328125, 'recall_with_threshold_fixed': 89.125, 'true_positives': 13209.6123046875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.232568264007568, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:20,892 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92278289794922, 'f1_score_metric': 115.25227355957031, 'loss': 3.651503801345825, 'precision_with_threshold_fixed': 109.92278289794922, 'recall_mul_prediction': 13614.296875, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.296875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 2.9044747352600098, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:22,455 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25231170654297, 'loss': 2.48016095161438, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13614.6474609375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.6474609375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 1.9425127506256104, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:23,967 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25220489501953, 'loss': 1.6451237201690674, 'precision_with_threshold_fixed': 109.92278289794922, 'recall_mul_prediction': 13615.0380859375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13615.037109375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 1.272520661354065, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:25,508 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25230407714844, 'loss': 1.0709517002105713, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.3740234375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.3740234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.8206448554992676, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:26,959 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25228881835938, 'loss': 0.6877822279930115, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13615.572265625, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13615.572265625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.5238640308380127, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:28,465 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25228881835938, 'loss': 0.43826133012771606, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13614.4736328125, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.4736328125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.3330528736114502, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:29,987 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25230407714844, 'loss': 0.27887770533561707, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13614.7783203125, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.7783203125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.21232610940933228, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:31,417 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92278289794922, 'f1_score_metric': 115.2522201538086, 'loss': 0.1784771829843521, 'precision_with_threshold_fixed': 109.92278289794922, 'recall_mul_prediction': 13612.865234375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13612.865234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.13672862946987152, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:32,805 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25224304199219, 'loss': 0.11574152112007141, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.9482421875, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.9482421875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.08959723263978958, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
2025-01-13 14:45:34,204 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.2521743774414, 'loss': 0.07662671059370041, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.9931640625, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.9931640625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 0.060175735503435135, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 0.0010000000474974513}
