2025-01-13 22:50:57,315 - Epoch 1: {'AUC': 0.5793135166168213, 'Precision': 0.9998786449432373, 'Recall': 0.08399755507707596, 'all_positives': 45.42204666137695, 'f1_score_metric': 16.941579818725586, 'loss': 1.0341572761535645, 'precision_with_threshold_fixed': 2.1546671390533447, 'recall_mul_prediction': 490.4093017578125, 'recall_with_threshold_fixed': 0.04693611338734627, 'true_positives': 490.4093322753906, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 0.07864609360694885, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 13.227469444274902, 'val_loss': 0.0018342726398259401, 'val_precision_with_threshold_fixed': 2.1452443599700928, 'val_recall_mul_prediction': 511.25872802734375, 'val_recall_with_threshold_fixed': 0.1666666865348816, 'val_true_positives': 511.25872802734375, 'learning_rate': 0.0003000000142492354}
2025-01-13 22:52:55,035 - Epoch 2: {'AUC': 0.5809319019317627, 'Precision': 0.999882698059082, 'Recall': 0.08692283928394318, 'all_positives': 45.422019958496094, 'f1_score_metric': 17.623083114624023, 'loss': 0.0018765520071610808, 'precision_with_threshold_fixed': 3.6448323726654053, 'recall_mul_prediction': 507.5169677734375, 'recall_with_threshold_fixed': 0.08604954183101654, 'true_positives': 507.51690673828125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.07366849482059479, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 12.462209701538086, 'val_loss': 0.0019156546331942081, 'val_precision_with_threshold_fixed': 1.226293921470642, 'val_recall_mul_prediction': 479.7745056152344, 'val_recall_with_threshold_fixed': 0.0625, 'val_true_positives': 479.7745056152344, 'learning_rate': 0.0003000000142492354}
2025-01-13 22:54:56,155 - Epoch 3: {'AUC': 0.5859912037849426, 'Precision': 0.9998833537101746, 'Recall': 0.08739170432090759, 'all_positives': 45.42204284667969, 'f1_score_metric': 17.69487190246582, 'loss': 0.001839214120991528, 'precision_with_threshold_fixed': 3.4796431064605713, 'recall_mul_prediction': 510.3734130859375, 'recall_with_threshold_fixed': 0.08344198018312454, 'true_positives': 510.3734130859375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.07366849482059479, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 12.339606285095215, 'val_loss': 0.0018087392672896385, 'val_precision_with_threshold_fixed': 2.1452441215515137, 'val_recall_mul_prediction': 484.409912109375, 'val_recall_with_threshold_fixed': 0.1250000149011612, 'val_true_positives': 484.409912109375, 'learning_rate': 0.0003000000142492354}
2025-01-13 23:19:50,374 - Epoch 1: {'AUC': 0.5799034833908081, 'Precision': 0.9998775124549866, 'Recall': 0.08317194879055023, 'all_positives': 45.42203140258789, 'f1_score_metric': 16.74639129638672, 'loss': 1.033528208732605, 'precision_with_threshold_fixed': 2.149747848510742, 'recall_mul_prediction': 485.72174072265625, 'recall_with_threshold_fixed': 0.04823989421129227, 'true_positives': 485.7216796875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.0731707364320755, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 12.205724716186523, 'val_loss': 0.0018134923884645104, 'val_precision_with_threshold_fixed': 2.1452441215515137, 'val_recall_mul_prediction': 482.1431884765625, 'val_recall_with_threshold_fixed': 0.0833333358168602, 'val_true_positives': 482.1431884765625, 'learning_rate': 0.0003000000142492354}
2025-01-13 23:21:48,565 - Epoch 2: {'AUC': 0.5898991227149963, 'Precision': 0.9998835921287537, 'Recall': 0.08755478262901306, 'all_positives': 45.42204666137695, 'f1_score_metric': 17.73788833618164, 'loss': 0.001876886817626655, 'precision_with_threshold_fixed': 3.875192880630493, 'recall_mul_prediction': 510.9101867675781, 'recall_with_threshold_fixed': 0.08604954183101654, 'true_positives': 510.9101867675781, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.07814833521842957, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 12.919787406921387, 'val_loss': 0.001924966461956501, 'val_precision_with_threshold_fixed': 2.1452443599700928, 'val_recall_mul_prediction': 512.0758056640625, 'val_recall_with_threshold_fixed': 0.1666666865348816, 'val_true_positives': 512.0758056640625, 'learning_rate': 0.0003000000142492354}
2025-01-13 23:23:47,876 - Epoch 3: {'AUC': 0.5865854024887085, 'Precision': 0.9998838901519775, 'Recall': 0.08780959993600845, 'all_positives': 45.42204666137695, 'f1_score_metric': 17.765165328979492, 'loss': 0.0018400902627035975, 'precision_with_threshold_fixed': 4.647936820983887, 'recall_mul_prediction': 512.61328125, 'recall_with_threshold_fixed': 0.10430247336626053, 'true_positives': 512.6132202148438, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 0.07632321864366531, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 12.839344024658203, 'val_loss': 0.0018273259047418833, 'val_precision_with_threshold_fixed': 2.1452441215515137, 'val_recall_mul_prediction': 498.83349609375, 'val_recall_with_threshold_fixed': 0.1250000149011612, 'val_true_positives': 498.83349609375, 'learning_rate': 0.0003000000142492354}
2025-01-13 23:56:17,696 - Epoch 1: {'AUC': 0.4100339114665985, 'Precision': 0.9990090727806091, 'Recall': 0.051381103694438934, 'all_positives': 45.42204284667969, 'f1_score_metric': 11.092096328735352, 'loss': 1.0335915088653564, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 299.9405212402344, 'recall_with_threshold_fixed': 0.0, 'true_positives': 299.9405212402344, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.05408992990851402, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 7.687150955200195, 'val_loss': 0.005183389876037836, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 369.84063720703125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 369.840576171875, 'learning_rate': 0.0003000000142492354}
2025-01-13 23:58:16,221 - Epoch 2: {'AUC': 0.4111859202384949, 'Precision': 0.9986705183982849, 'Recall': 0.05359290540218353, 'all_positives': 45.422054290771484, 'f1_score_metric': 11.730472564697266, 'loss': 0.005445027258247137, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 312.9726867675781, 'recall_with_threshold_fixed': 0.0, 'true_positives': 312.9726867675781, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.05193297192454338, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 7.218255043029785, 'val_loss': 0.005028710700571537, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 354.195068359375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 354.1950378417969, 'learning_rate': 0.0003000000142492354}
2025-01-14 00:00:18,958 - Epoch 3: {'AUC': 0.4169105887413025, 'Precision': 0.9986859560012817, 'Recall': 0.05422484874725342, 'all_positives': 45.422061920166016, 'f1_score_metric': 11.837326049804688, 'loss': 0.005424862261861563, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 316.7210998535156, 'recall_with_threshold_fixed': 0.0, 'true_positives': 316.7210998535156, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.05939937382936478, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 8.058140754699707, 'val_loss': 0.005168361123651266, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 406.89617919921875, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 406.89617919921875, 'learning_rate': 0.0003000000142492354}
2025-01-14 11:01:24,436 - Epoch 1: {'AUC': 0.4240306317806244, 'Precision': 0.9988017082214355, 'Recall': 0.05097339674830437, 'all_positives': 45.42204284667969, 'f1_score_metric': 11.086797714233398, 'loss': 1.0340840816497803, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 297.27154541015625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 297.2715148925781, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.053592171519994736, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 7.532901287078857, 'val_loss': 0.005098974332213402, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 367.90521240234375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 367.90521240234375, 'learning_rate': 0.0003000000142492354}
2025-01-14 11:03:22,284 - Epoch 2: {'AUC': 0.39808619022369385, 'Precision': 0.9988876581192017, 'Recall': 0.054917946457862854, 'all_positives': 45.42201232910156, 'f1_score_metric': 11.976395606994629, 'loss': 0.005431972444057465, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 320.8598937988281, 'recall_with_threshold_fixed': 0.0, 'true_positives': 320.8598937988281, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.04313920810818672, 'val_all_positives': 43.227012634277344, 'val_f1_score_metric': 6.197438716888428, 'val_loss': 0.004954363219439983, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 296.77471923828125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 296.7746887207031, 'learning_rate': 0.0003000000142492354}
